map_file=den520d.map
agents=40
seed=22
random_problem=0
max_comp_time=3000000
100,97,235,81
216,57,133,228
162,114,219,107
238,116,113,222
215,202,83,172
108,50,157,121
156,144,181,86
80,60,213,117
225,212,198,179
242,191,69,88
96,40,63,80
204,189,184,128
197,65,68,138
204,185,212,74
187,55,64,86
70,208,22,75
220,223,167,31
241,44,64,230
170,35,141,16
219,83,87,183
16,139,122,95
107,174,21,175
187,38,226,105
87,84,175,70
139,35,168,66
109,220,210,61
62,152,194,69
125,26,85,99
172,179,201,193
141,108,81,151
37,146,235,115
45,86,87,203
241,81,160,166
60,147,197,197
236,16,125,105
18,156,168,161
110,84,79,175
156,159,169,55
126,27,14,198
68,49,37,143
